Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.237000e+09,-9.967902e+01,-9.350837e+01,-8.070628e+01
1.238000e+09,-9.964316e+01,-9.364369e+01,-8.070888e+01
1.239000e+09,-9.964105e+01,-9.375682e+01,-8.088947e+01
1.240000e+09,-9.929663e+01,-9.363503e+01,-8.086004e+01
1.241000e+09,-9.944946e+01,-9.339417e+01,-8.068483e+01
1.242000e+09,-9.937363e+01,-9.341676e+01,-8.076944e+01
1.243000e+09,-9.931621e+01,-9.336506e+01,-8.062386e+01
1.244000e+09,-9.931574e+01,-9.345230e+01,-8.050517e+01
1.245000e+09,-9.955271e+01,-9.334176e+01,-8.046873e+01
1.246000e+09,-9.918480e+01,-9.325078e+01,-8.046798e+01
1.247000e+09,-9.937626e+01,-9.310772e+01,-8.015385e+01
1.248000e+09,-9.948643e+01,-9.317223e+01,-8.030055e+01
1.249000e+09,-9.927914e+01,-9.314548e+01,-8.057617e+01
1.250000e+09,-9.956642e+01,-9.324909e+01,-8.037091e+01
1.251000e+09,-9.949224e+01,-9.336442e+01,-8.023567e+01
1.252000e+09,-9.940729e+01,-9.337210e+01,-8.018243e+01
1.253000e+09,-9.959982e+01,-9.352173e+01,-8.025713e+01
1.254000e+09,-9.933867e+01,-9.322123e+01,-8.018715e+01
1.255000e+09,-9.947521e+01,-9.372386e+01,-8.010715e+01
1.256000e+09,-9.937666e+01,-9.374925e+01,-8.037869e+01
1.257000e+09,-9.940975e+01,-9.390298e+01,-8.005816e+01
1.258000e+09,-9.926949e+01,-9.380967e+01,-8.015285e+01
1.259000e+09,-9.946448e+01,-9.360892e+01,-8.002672e+01
1.260000e+09,-9.941166e+01,-9.395918e+01,-8.025417e+01
1.261000e+09,-9.926508e+01,-9.347484e+01,-8.004037e+01
1.262000e+09,-9.946407e+01,-9.358175e+01,-8.035694e+01
1.263000e+09,-9.930548e+01,-9.334566e+01,-8.028106e+01
1.264000e+09,-9.960085e+01,-9.366043e+01,-8.038537e+01
1.265000e+09,-9.939435e+01,-9.352900e+01,-8.052201e+01
1.266000e+09,-9.939923e+01,-9.323076e+01,-8.072368e+01
1.267000e+09,-9.928267e+01,-9.363572e+01,-8.036114e+01
1.268000e+09,-9.921662e+01,-9.334928e+01,-8.047143e+01
1.269000e+09,-9.921278e+01,-9.327915e+01,-8.069589e+01
1.270000e+09,-9.914015e+01,-9.307464e+01,-8.066943e+01
1.271000e+09,-9.926738e+01,-9.299026e+01,-8.080398e+01
1.272000e+09,-9.918543e+01,-9.330225e+01,-8.098581e+01
1.273000e+09,-9.937156e+01,-9.317705e+01,-8.110274e+01
1.274000e+09,-9.940531e+01,-9.299583e+01,-8.117960e+01
1.275000e+09,-9.936464e+01,-9.326387e+01,-8.145148e+01
1.276000e+09,-9.928071e+01,-9.315148e+01,-8.111718e+01
1.277000e+09,-9.928447e+01,-9.331235e+01,-8.139402e+01
1.278000e+09,-9.928105e+01,-9.307490e+01,-8.146354e+01
1.279000e+09,-9.932246e+01,-9.319704e+01,-8.149083e+01
1.280000e+09,-9.927909e+01,-9.327035e+01,-8.139877e+01
1.281000e+09,-9.930935e+01,-9.339006e+01,-8.136067e+01
1.282000e+09,-9.932429e+01,-9.363118e+01,-8.130963e+01
1.283000e+09,-9.925069e+01,-9.305672e+01,-8.113646e+01
