Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.373000e+09,-7.267578e+01,-7.192383e+01
1.373667e+09,-7.256348e+01,-7.224121e+01
1.374333e+09,-7.273438e+01,-7.214355e+01
1.375000e+09,-7.279297e+01,-7.215332e+01
1.375667e+09,-7.311035e+01,-7.219238e+01
1.376333e+09,-7.304688e+01,-7.217773e+01
1.377000e+09,-7.301270e+01,-7.248535e+01
1.377667e+09,-7.317871e+01,-7.246582e+01
1.378333e+09,-7.325684e+01,-7.251465e+01
1.379000e+09,-7.344727e+01,-7.285645e+01
1.379667e+09,-7.339844e+01,-7.236816e+01
1.380333e+09,-7.330078e+01,-7.283203e+01
1.381000e+09,-7.347168e+01,-7.300293e+01
1.381667e+09,-7.343750e+01,-7.292969e+01
1.382333e+09,-7.347656e+01,-7.291992e+01
1.383000e+09,-7.370605e+01,-7.302734e+01
1.383667e+09,-7.377930e+01,-7.294922e+01
1.384333e+09,-7.402832e+01,-7.318848e+01
1.385000e+09,-7.402832e+01,-7.303223e+01
1.385667e+09,-7.369629e+01,-7.315430e+01
1.386333e+09,-7.382324e+01,-7.322754e+01
1.387000e+09,-7.378906e+01,-7.328125e+01
1.387667e+09,-7.364258e+01,-7.333496e+01
1.388333e+09,-7.389648e+01,-7.319336e+01
1.389000e+09,-7.428223e+01,-7.337891e+01
1.389667e+09,-7.424805e+01,-7.353027e+01
1.390333e+09,-7.382812e+01,-7.356445e+01
1.391000e+09,-7.416992e+01,-7.335449e+01
1.391667e+09,-7.414551e+01,-7.360840e+01
1.392333e+09,-7.401855e+01,-7.333496e+01
1.393000e+09,-7.444824e+01,-7.351074e+01
1.393667e+09,-7.405273e+01,-7.385742e+01
1.394333e+09,-7.413574e+01,-7.349609e+01
1.395000e+09,-7.423828e+01,-7.384766e+01
1.395667e+09,-7.440918e+01,-7.348633e+01
1.396333e+09,-7.435059e+01,-7.375488e+01
1.397000e+09,-7.431152e+01,-7.347168e+01
1.397667e+09,-7.448730e+01,-7.375977e+01
1.398333e+09,-7.413086e+01,-7.360840e+01
1.399000e+09,-7.434570e+01,-7.368164e+01
1.399667e+09,-7.399414e+01,-7.348145e+01
1.400333e+09,-7.422852e+01,-7.308105e+01
1.401000e+09,-7.414062e+01,-7.327148e+01
1.401667e+09,-7.406738e+01,-7.329102e+01
1.402333e+09,-7.401855e+01,-7.333008e+01
1.403000e+09,-7.410645e+01,-7.314941e+01
1.403667e+09,-7.409180e+01,-7.320801e+01
1.404333e+09,-7.387207e+01,-7.320312e+01
1.405000e+09,-7.405762e+01,-7.312988e+01
1.405667e+09,-7.409668e+01,-7.334473e+01
1.406333e+09,-7.394043e+01,-7.330566e+01
1.407000e+09,-7.377441e+01,-7.335449e+01
1.407667e+09,-7.405273e+01,-7.326172e+01
1.408333e+09,-7.404297e+01,-7.338379e+01
1.409000e+09,-7.367188e+01,-7.326660e+01
1.409667e+09,-7.391113e+01,-7.332031e+01
1.410333e+09,-7.390625e+01,-7.308105e+01
1.411000e+09,-7.348633e+01,-7.326172e+01
1.411667e+09,-7.359375e+01,-7.332031e+01
1.412333e+09,-7.345703e+01,-7.301758e+01
1.413000e+09,-7.325684e+01,-7.295410e+01
1.413667e+09,-7.356445e+01,-7.312988e+01
1.414333e+09,-7.318359e+01,-7.292969e+01
1.415000e+09,-7.349121e+01,-7.280762e+01
1.415667e+09,-7.354004e+01,-7.273438e+01
1.416333e+09,-7.345215e+01,-7.290039e+01
1.417000e+09,-7.346680e+01,-7.268066e+01
1.417667e+09,-7.356445e+01,-7.293945e+01
1.418333e+09,-7.353027e+01,-7.290039e+01
1.419000e+09,-7.372070e+01,-7.289551e+01
1.419667e+09,-7.387207e+01,-7.277832e+01
1.420333e+09,-7.317383e+01,-7.216309e+01
